id,thumbnail
359,http://books.google.com/books/content?id=ZetBPgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
361,http://books.google.com/books/content?id=d6v1HAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
363,http://books.google.com/books/content?id=B8TFB36JMD8C&printsec=frontcover&img=1&zoom=1&source=gbs_api
366,http://books.google.com/books/content?id=xP4FAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
368,http://books.google.com/books/content?id=p-uecQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
369,http://books.google.com/books/content?id=m_eFFsiBFFQC&printsec=frontcover&img=1&zoom=1&source=gbs_api
371,http://books.google.com/books/content?id=nA-LQ9XASMsC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
372,http://books.google.com/books/content?id=ONE9jAwFIuQC&printsec=frontcover&img=1&zoom=1&source=gbs_api
373,http://books.google.com/books/content?id=hu_ZQ7I1XXYC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
374,http://books.google.com/books/content?id=oUpAPgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
376,http://books.google.com/books/content?id=XCHQPeAcXcAC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
377,http://books.google.com/books/content?id=6zwaPwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
378,http://books.google.com/books/content?id=dkOPQgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
380,http://books.google.com/books/content?id=_FPJAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
381,http://books.google.com/books/content?id=_0SLAXuhgG8C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
382,http://books.google.com/books/content?id=vr3GOAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
383,http://books.google.com/books/content?id=4s-Kb9kv36oC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
384,http://books.google.com/books/content?id=HLZTpvrUu4UC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
385,http://books.google.com/books/content?id=BUtKAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
386,http://books.google.com/books/content?id=puj-GgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
390,http://books.google.com/books/content?id=SnBAPgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
391,http://books.google.com/books/content?id=qvcWHAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
392,http://books.google.com/books/content?id=SNpbPgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
393,http://books.google.com/books/content?id=922yOAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
394,http://books.google.com/books/content?id=ZkAnPwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
395,http://books.google.com/books/content?id=lbmMnWzUitQC&printsec=frontcover&img=1&zoom=1&source=gbs_api
396,http://books.google.com/books/content?id=PT2-QgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
397,http://books.google.com/books/content?id=hgrnwAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
399,http://books.google.com/books/content?id=ecMVGQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
401,http://books.google.com/books/content?id=cQPTAQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
402,http://books.google.com/books/content?id=0FWr76sfBFcC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
404,http://books.google.com/books/content?id=pPOaAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
406,http://books.google.com/books/content?id=XUI-PgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
407,http://books.google.com/books/content?id=rKZ3I94VPmsC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
409,http://books.google.com/books/content?id=l410PgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
